,Occupation Title,SOC Code,Typical entry-level education,2017_median_income,2016_median_income,2015_median_income,2014_median_income,2013_median_income,2012_median_income,2011_median_income,2010_median_income,2009_median_income,2008_median_income,2007_median_income
0,Accountants and auditors    * Account Auditor* Accountant* Auditor* Auditor-In-Charge* CPA* Certified Public Accountant* Cost Accountant* Field Auditor* Financial Accountant* Financial Auditor* Fund Accountant* Internal Auditor* Payroll Auditor* Tax Accountant,13-2011,Bachelor's degree,69350,68150,67190,65940,65080,63550,62850,61690,         60340,         59430,         57060
1,Actuaries    * Actuarial Associate* Actuarial Mathematician* Health Actuary* Insurance Actuary* Pricing Actuary* Product Development Actuary,15-2011,Bachelor's degree,101560,100610,97070,96700,94340,93680,91060,87650,         87210,         84810,         85690
2,Administrative services managers    * Administrative Services Manager* Business Office Manager* Business Unit Manager* Facilities Manager* Records Management Director* Records and Information Manager,11-3011,Bachelor's degree,94020,90050,86110,83790,82310,81080,79540,77890,         75520,         73520,         70990
3,Adult basic and secondary education and literacy teachers and instructors    * Adult Basic Studies Teacher* Adult Education Teacher* Adult Literacy Instructor* Adult Literacy Teacher* Adult Remedial Education Instructor* GED Instructor* General Educational Development (GED) Teacher* General Educational Development Teacher,25-3011,Bachelor's degree,52100,50650,50280,49590,51110,48590,47370,46530,         45920,         46310,         44710
4,Advertising and promotions managers    * Advertising Director* Advertising Executive* Advertising Manager* Classified Advertising Manager* Promotion Manager* Promotions Director* VP Advertising* VP Promotions,11-2011,Bachelor's degree,106130,100810,95890,96720,93880,88590,87650,83890,         82370,         80220,         78250
5,Aerospace engineers    * Aerodynamics Engineer* Aeronautical Engineer* Aerospace Engineer* Aircraft Design Engineer* Aircraft Designer* Aircraft Engineer* Astronautical Engineer* Flight Systems Test Engineer* Flight Test Engineer* Wind Tunnel Engineer,17-2011,Bachelor's degree,113030,109650,107830,105380,103870,103720,102420,97480,         94780,         92520,         90930
6,"Agents and business managers of artists, performers, and athletes    * Artist Manager* Artist Representative* Author's Agent* Band Manager* Booking Agent* Booking Manager* Fight Manager* Literary Agent* Modeling Agent* Talent Agent* Talent Manager* Theatrical Agent",13-1011,Bachelor's degree,64940,62080,62940,64200,64490,63370,64790,63130,         61890,         62940,         66440
7,Agricultural engineers    * Agricultural Engineer* Agricultural Production Engineer* Agricultural Research Engineer* Farm Equipment Engineer* Research Agricultural Engineer,17-2021,Bachelor's degree,74780,73640,75090,71730,74450,74000,74630,71090,         69560,         68730,         67710
8,Agricultural inspectors    * Cattle Examiner* Cattle Inspector* Grain Sampler* Meat and Poultry Inspector* Milk Tester* Wheat Inspector,45-2011,Bachelor's degree,43390,42800,43380,43090,42680,42160,41390,41670,         41500,         41170,         39780
9,"Airline pilots, copilots, and flight engineers    * Airline Captain* Airline Pilot* Airline Pilot Flight Instructor* Airline Pilot In Command* Airline Pilot Second In Command* Airline Transport Pilot* Charter Pilot (Air Transport Pilot Certificate Required)* Charter Pilot (Airline)* Regional Airline Pilot",53-2011,Bachelor's degree,137330,127820,117290,118140,115190,114200,105580,103210,        106240,        111680,        103590
10,Animal scientists    * Animal Geneticist* Animal Nutritionist* Animal Scientist* Beef Cattle Nutritionist* Dairy Scientist* Poultry Scientist* Swine Genetics Researcher,19-1011,Bachelor's degree,60760,60330,60390,61110,64260,61680,61230,58250,         56960,         56030,         48360
