"Occupation Title","SOC Code","Employment 2016 (thousands)","Employment 2026 (thousands)","Employment change, 2016-2026 (thousands)","Employment change, 2016-2026 (percent)","Occupational openings, 2016-2026 annual average (thousands)","2017 median annual wage","Typical entry-level education","Education Code","Work experience in a related occupation","Workex Code","Typical on-the-job training","trCode"
"Accountants and auditors    * Account Auditor* Accountant* Auditor* Auditor-In-Charge* CPA* Certified Public Accountant* Cost Accountant* Field Auditor* Financial Accountant* Financial Auditor* Fund Accountant* Internal Auditor* Payroll Auditor* Tax Accountant","=""13-2011""","1,397.7","1,537.6","139.9","10.0","141.8","69,350","Bachelor's degree","3","None","4","None","6"
"Actuaries    * Actuarial Associate* Actuarial Mathematician* Health Actuary* Insurance Actuary* Pricing Actuary* Product Development Actuary","=""15-2011""","23.6","28.9","5.3","22.5","2.1","101,560","Bachelor's degree","3","None","4","Long-term on-the-job training","3"
"Administrative services managers    * Administrative Services Manager* Business Office Manager* Business Unit Manager* Facilities Manager* Records Management Director* Records and Information Manager","=""11-3011""","281.7","310.2","28.5","10.1","26.2","94,020","Bachelor's degree","3","Less than 5 years","2","None","6"
"Adult basic and secondary education and literacy teachers and instructors    * Adult Basic Studies Teacher* Adult Education Teacher* Adult Literacy Instructor* Adult Literacy Teacher* Adult Remedial Education Instructor* GED Instructor* General Educational Development (GED) Teacher* General Educational Development Teacher","=""25-3011""","68.2","64.7","-3.4","-5.1","6.8","52,100","Bachelor's degree","3","None","4","None","6"
"Advertising and promotions managers    * Advertising Director* Advertising Executive* Advertising Manager* Classified Advertising Manager* Promotion Manager* Promotions Director* VP Advertising* VP Promotions","=""11-2011""","31.3","33.0","1.7","5.5","3.4","106,130","Bachelor's degree","3","Less than 5 years","2","None","6"
"Aerospace engineers    * Aerodynamics Engineer* Aeronautical Engineer* Aerospace Engineer* Aircraft Design Engineer* Aircraft Designer* Aircraft Engineer* Astronautical Engineer* Flight Systems Test Engineer* Flight Test Engineer* Wind Tunnel Engineer","=""17-2011""","69.6","73.8","4.2","6.1","4.6","113,030","Bachelor's degree","3","None","4","None","6"
"Agents and business managers of artists, performers, and athletes    * Artist Manager* Artist Representative* Author's Agent* Band Manager* Booking Agent* Booking Manager* Fight Manager* Literary Agent* Modeling Agent* Talent Agent* Talent Manager* Theatrical Agent","=""13-1011""","19.1","20.0","0.9","4.7","2.3","64,940","Bachelor's degree","3","Less than 5 years","2","None","6"
"Agricultural engineers    * Agricultural Engineer* Agricultural Production Engineer* Agricultural Research Engineer* Farm Equipment Engineer* Research Agricultural Engineer","=""17-2021""","2.7","2.9","0.2","8.2","0.2","74,780","Bachelor's degree","3","None","4","None","6"
"Agricultural inspectors    * Cattle Examiner* Cattle Inspector* Grain Sampler* Meat and Poultry Inspector* Milk Tester* Wheat Inspector","=""45-2011""","15.6","16.3","0.7","4.6","2.2","43,390","Bachelor's degree","3","None","4","Moderate-term on-the-job training","4"
"Airline pilots, copilots, and flight engineers    * Airline Captain* Airline Pilot* Airline Pilot Flight Instructor* Airline Pilot In Command* Airline Pilot Second In Command* Airline Transport Pilot* Charter Pilot (Air Transport Pilot Certificate Required)* Charter Pilot (Airline)* Regional Airline Pilot","=""53-2011""","84.0","86.9","2.9","3.4","8.1","137,330","Bachelor's degree","3","Less than 5 years","2","Moderate-term on-the-job training","4"
